Ab-Datum,Ab-Zeit,Wirk-Profilwert,Blind-Profilwert
01.01.2020,00:00:00,0.068,0.025
01.01.2020,00:15:00,0.09,0.025
01.01.2020,00:30:00,0.085,0.03
01.01.2020,00:45:00,0.09,0.035
01.01.2020,01:00:00,0.075,0.024
01.01.2020,01:15:00,0.083,0.02
01.01.2020,01:30:00,0.094,0.048
01.01.2020,01:45:00,0.07,0.022
01.01.2020,02:00:00,0.101,0.022
01.01.2020,02:15:00,0.084,0.033
01.01.2020,02:30:00,0.076,0.034
01.01.2020,02:45:00,0.084,0.024
01.01.2020,03:00:00,0.084,0.02
01.01.2020,03:15:00,0.098,0.045
01.01.2020,03:30:00,0.448,0.024
01.01.2020,03:45:00,0.813,0.023
01.01.2020,04:00:00,0.089,0.039
01.01.2020,04:15:00,0.079,0.03
01.01.2020,04:30:00,0.098,0.024
01.01.2020,04:45:00,0.077,0.024
01.01.2020,05:00:00,0.106,0.043
01.01.2020,05:15:00,0.103,0.023
01.01.2020,05:30:00,0.089,0.021
01.01.2020,05:45:00,0.107,0.042
01.01.2020,06:00:00,0.082,0.024
01.01.2020,06:15:00,0.099,0.022
01.01.2020,06:30:00,0.083,0.031
01.01.2020,06:45:00,0.077,0.036
01.01.2020,07:00:00,0.089,0.025
01.01.2020,07:15:00,0.117,0.021
01.01.2020,07:30:00,0.091,0.046
01.01.2020,07:45:00,0.07,0.023
01.01.2020,08:00:00,0.088,0.022
01.01.2020,08:15:00,0.1,0.04
01.01.2020,08:30:00,0.086,0.029
01.01.2020,08:45:00,0.091,0.024
01.01.2020,09:00:00,0.085,0.029
01.01.2020,09:15:00,0.085,0.038
01.01.2020,09:30:00,0.085,0.004
01.01.2020,09:45:00,0.051,0.003
01.01.2020,10:00:00,0.053,0.013
01.01.2020,10:15:00,0.027,0
01.01.2020,10:30:00,0.065,0
01.01.2020,10:45:00,0.064,0.014
01.01.2020,11:00:00,0.032,0.002
01.01.2020,11:15:00,0.082,0
01.01.2020,11:30:00,0.125,0.006
01.01.2020,11:45:00,0.083,0.01
01.01.2020,12:00:00,0.033,0
01.01.2020,12:15:00,0.054,0
01.01.2020,12:30:00,0.058,0.015
01.01.2020,12:45:00,0.037,0.001
01.01.2020,13:00:00,0.064,0
01.01.2020,13:15:00,0.045,0.007
01.01.2020,13:30:00,0.045,0.01
01.01.2020,13:45:00,0.041,0
01.01.2020,14:00:00,0.059,0
01.01.2020,14:15:00,0.059,0.017
01.01.2020,14:30:00,0.028,0
01.01.2020,14:45:00,0.081,0.001
01.01.2020,15:00:00,0.1,0.015
01.01.2020,15:15:00,0.076,0.014
01.01.2020,15:30:00,0.08,0.004
01.01.2020,15:45:00,0.066,0.003
01.01.2020,16:00:00,0.072,0.028
01.01.2020,16:15:00,0.068,0.004
01.01.2020,16:30:00,0.069,0.003
01.01.2020,16:45:00,0.069,0.021
01.01.2020,17:00:00,0.072,0.02
01.01.2020,17:15:00,0.096,0.021
01.01.2020,17:30:00,0.092,0.022
01.01.2020,17:45:00,0.105,0.046
01.01.2020,18:00:00,0.086,0.022
01.01.2020,18:15:00,0.073,0.017
01.01.2020,18:30:00,0.106,0.044
01.01.2020,18:45:00,0.076,0.024
01.01.2020,19:00:00,0.087,0.021
01.01.2020,19:15:00,0.08,0.031
01.01.2020,19:30:00,0.089,0.05
01.01.2020,19:45:00,0.112,0.03
01.01.2020,20:00:00,0.07,0.017
01.01.2020,20:15:00,0.066,0.022
01.01.2020,20:30:00,0.1,0.046
01.01.2020,20:45:00,0.088,0.019
01.01.2020,21:00:00,0.077,0.02
01.01.2020,21:15:00,0.078,0.036
01.01.2020,21:30:00,0.103,0.034
01.01.2020,21:45:00,0.07,0.018
01.01.2020,22:00:00,0.821,0.025
01.01.2020,22:15:00,0.865,0.048
01.01.2020,22:30:00,0.819,0.019
01.01.2020,22:45:00,0.819,0.023
01.01.2020,23:00:00,0.492,0.043
01.01.2020,23:15:00,0.103,0.027
01.01.2020,23:30:00,0.069,0.021
01.01.2020,23:45:00,0.072,0.03
02.01.2020,00:00:00,0.108,0.042
02.01.2020,00:15:00,0.075,0.019
02.01.2020,00:30:00,0.074,0.021
02.01.2020,00:45:00,0.107,0.05
02.01.2020,01:00:00,0.074,0.019
02.01.2020,01:15:00,0.068,0.023
02.01.2020,01:30:00,0.095,0.037
02.01.2020,01:45:00,0.102,0.032
02.01.2020,02:00:00,0.069,0.02
02.01.2020,02:15:00,0.068,0.026
02.01.2020,02:30:00,0.141,0.047
02.01.2020,02:45:00,0.084,0.017
02.01.2020,03:00:00,0.067,0.022
02.01.2020,03:15:00,0.104,0.048
02.01.2020,03:30:00,0.595,0.023
02.01.2020,03:45:00,0.667,0.023
02.01.2020,04:00:00,0.092,0.034
02.01.2020,04:15:00,0.123,0.045
02.01.2020,04:30:00,0.08,0.023
02.01.2020,04:45:00,0.066,0.024
02.01.2020,05:00:00,0.118,0.049
02.01.2020,05:15:00,0.081,0.017
02.01.2020,05:30:00,0.098,0.022
02.01.2020,05:45:00,0.109,0.041
02.01.2020,06:00:00,0.096,0.028
02.01.2020,06:15:00,0.081,0.019
02.01.2020,06:30:00,0.086,0.027
02.01.2020,06:45:00,0.12,0.042
02.01.2020,07:00:00,0.072,0.019
02.01.2020,07:15:00,0.067,0.023
02.01.2020,07:30:00,0.113,0.047
02.01.2020,07:45:00,0.09,0.021
02.01.2020,08:00:00,0.068,0.022
02.01.2020,08:15:00,0.082,0.034
02.01.2020,08:30:00,0.46,0.02
02.01.2020,08:45:00,0.491,0
02.01.2020,09:00:00,0.117,0.001
02.01.2020,09:15:00,0.167,0.031
02.01.2020,09:30:00,0.059,0
02.01.2020,09:45:00,0.054,0.002
02.01.2020,10:00:00,0.086,0.009
02.01.2020,10:15:00,0.051,0.006
02.01.2020,10:30:00,0.031,0
02.01.2020,10:45:00,0.089,0.004
02.01.2020,11:00:00,0.097,0.014
02.01.2020,11:15:00,0.056,0
02.01.2020,11:30:00,0.071,0.015
02.01.2020,11:45:00,0.389,0.025
02.01.2020,12:00:00,0.433,0.007
02.01.2020,12:15:00,0.086,0.003
02.01.2020,12:30:00,0.085,0.012
02.01.2020,12:45:00,0.041,0.007
02.01.2020,13:00:00,0.058,0
02.01.2020,13:15:00,0.048,0.006
02.01.2020,13:30:00,0.051,0.011
02.01.2020,13:45:00,0.071,0
02.01.2020,14:00:00,0.041,0.002
02.01.2020,14:15:00,0.053,0.015
02.01.2020,14:30:00,0.059,0
02.01.2020,14:45:00,0.042,0.001
02.01.2020,15:00:00,0.112,0.021
02.01.2020,15:15:00,0.081,0.004
02.01.2020,15:30:00,0.063,0
02.01.2020,15:45:00,0.077,0.022
02.01.2020,16:00:00,0.127,0.037
02.01.2020,16:15:00,0.098,0.028
02.01.2020,16:30:00,0.096,0.05
02.01.2020,16:45:00,0.115,0.047
02.01.2020,17:00:00,0.09,0.028
02.01.2020,17:15:00,0.086,0.031
02.01.2020,17:30:00,0.107,0.038
