Ab-Datum,Ab-Zeit,Wirk-Profilwert,Blind-Profilwert
01.01.2020,00:00:00,1.023,0.315
01.01.2020,00:15:00,0.807,0.102
01.01.2020,00:30:00,0.689,0.101
01.01.2020,00:45:00,0.923,0.304
01.01.2020,01:00:00,0.57,0.007
01.01.2020,01:15:00,0.925,0.382
01.01.2020,01:30:00,0.543,0.008
01.01.2020,01:45:00,0.794,0.238
01.01.2020,02:00:00,0.669,0.14
01.01.2020,02:15:00,0.563,0.043
01.01.2020,02:30:00,0.907,0.343
01.01.2020,02:45:00,0.526,0.004
01.01.2020,03:00:00,0.986,0.389
01.01.2020,03:15:00,0.542,0.007
01.01.2020,03:30:00,0.709,0.174
01.01.2020,03:45:00,0.767,0.232
01.01.2020,04:00:00,0.053,0.001
01.01.2020,04:15:00,0.474,0.395
01.01.2020,04:30:00,0.049,0.005
01.01.2020,04:45:00,0.356,0.294
01.01.2020,05:00:00,0.166,0.108
01.01.2020,05:15:00,0.127,0.076
01.01.2020,05:30:00,0.405,0.342
01.01.2020,05:45:00,0.037,0
01.01.2020,06:00:00,0.483,0.399
01.01.2020,06:15:00,0.051,0.008
01.01.2020,06:30:00,0.207,0.166
01.01.2020,06:45:00,0.683,0.548
01.01.2020,07:00:00,0.344,0.247
01.01.2020,07:15:00,0.029,0
01.01.2020,07:30:00,0.607,0.506
01.01.2020,07:45:00,0.46,0.343
01.01.2020,08:00:00,0.028,0.001
01.01.2020,08:15:00,0.504,0.43
01.01.2020,08:30:00,0.575,0.449
01.01.2020,08:45:00,0.159,0.006
01.01.2020,09:00:00,0.426,0.334
01.01.2020,09:15:00,0.61,0.465
01.01.2020,09:30:00,0.055,0.018
01.01.2020,09:45:00,0.342,0.287
01.01.2020,10:00:00,0.631,0.508
01.01.2020,10:15:00,0.045,0.005
01.01.2020,10:30:00,0.28,0.248
01.01.2020,10:45:00,0.66,0.551
01.01.2020,11:00:00,0.049,0.006
01.01.2020,11:15:00,0.25,0.218
01.01.2020,11:30:00,0.701,0.592
01.01.2020,11:45:00,0.18,0.012
01.01.2020,12:00:00,0.907,0.171
01.01.2020,12:15:00,0.793,0.552
01.01.2020,12:30:00,0.1,0.044
01.01.2020,12:45:00,0.208,0.131
01.01.2020,13:00:00,0.692,0.549
01.01.2020,13:15:00,0.247,0.078
01.01.2020,13:30:00,0.177,0.101
01.01.2020,13:45:00,0.694,0.552
01.01.2020,14:00:00,0.162,0.098
01.01.2020,14:15:00,0.146,0.078
01.01.2020,14:30:00,0.696,0.551
01.01.2020,14:45:00,0.149,0.102
01.01.2020,15:00:00,0.125,0.082
01.01.2020,15:15:00,0.693,0.558
01.01.2020,15:30:00,0.152,0.102
01.01.2020,15:45:00,0.119,0.078
01.01.2020,16:00:00,0.702,0.554
01.01.2020,16:15:00,0.19,0.102
01.01.2020,16:30:00,0.151,0.075
01.01.2020,16:45:00,0.749,0.537
01.01.2020,17:00:00,0.307,0.106
01.01.2020,17:15:00,0.251,0.064
01.01.2020,17:30:00,0.815,0.542
01.01.2020,17:45:00,0.257,0.097
01.01.2020,18:00:00,0.182,0.077
01.01.2020,18:15:00,0.783,0.561
01.01.2020,18:30:00,0.259,0.106
01.01.2020,18:45:00,0.244,0.068
01.01.2020,19:00:00,0.873,0.564
01.01.2020,19:15:00,0.376,0.11
01.01.2020,19:30:00,0.232,0.071
01.01.2020,19:45:00,0.821,0.567
01.01.2020,20:00:00,0.296,0.104
01.01.2020,20:15:00,0.254,0.077
01.01.2020,20:30:00,0.822,0.542
01.01.2020,20:45:00,0.352,0.107
01.01.2020,21:00:00,0.216,0.069
01.01.2020,21:15:00,0.783,0.551
01.01.2020,21:30:00,0.29,0.119
01.01.2020,21:45:00,0.467,0.056
01.01.2020,22:00:00,1.246,0.181
01.01.2020,22:15:00,0.635,0
01.01.2020,22:30:00,0.997,0.347
01.01.2020,22:45:00,0.897,0.004
01.01.2020,23:00:00,1.364,0.379
01.01.2020,23:15:00,0.559,0.008
01.01.2020,23:30:00,0.744,0.195
01.01.2020,23:45:00,0.749,0.192
02.01.2020,00:00:00,0.556,0.014
02.01.2020,00:15:00,0.966,0.396
02.01.2020,00:30:00,0.563,0.004
02.01.2020,00:45:00,0.931,0.35
02.01.2020,01:00:00,0.579,0.053
02.01.2020,01:15:00,0.669,0.13
02.01.2020,01:30:00,0.84,0.276
02.01.2020,01:45:00,0.504,0
02.01.2020,02:00:00,0.941,0.395
02.01.2020,02:15:00,0.533,0.007
02.01.2020,02:30:00,0.76,0.231
02.01.2020,02:45:00,0.705,0.169
02.01.2020,03:00:00,0.541,0.016
02.01.2020,03:15:00,0.947,0.391
02.01.2020,03:30:00,0.522,0
02.01.2020,03:45:00,0.883,0.354
02.01.2020,04:00:00,0.603,0.069
02.01.2020,04:15:00,0.393,0.112
02.01.2020,04:30:00,0.357,0.301
02.01.2020,04:45:00,0.044,0.005
02.01.2020,05:00:00,0.496,0.402
02.01.2020,05:15:00,0.027,0.001
02.01.2020,05:30:00,0.25,0.209
02.01.2020,05:45:00,0.295,0.217
02.01.2020,06:00:00,0.033,0
02.01.2020,06:15:00,0.483,0.421
02.01.2020,06:30:00,0.055,0.004
02.01.2020,06:45:00,0.323,0.267
02.01.2020,07:00:00,0.672,0.577
02.01.2020,07:15:00,0.246,0.174
02.01.2020,07:30:00,0.07,0.025
02.01.2020,07:45:00,0.733,0.562
02.01.2020,08:00:00,0.413,0.27
