Ab-Datum,Ab-Zeit,Wirk-Profilwert,Blind-Profilwert
01.01.2020,00:00:00,0.439,0.06
01.01.2020,00:15:00,0.487,0.075
01.01.2020,00:30:00,0.508,0.082
01.01.2020,00:45:00,0.476,0.071
01.01.2020,01:00:00,0.401,0.05
01.01.2020,01:15:00,0.35,0.018
01.01.2020,01:30:00,0.294,0.02
01.01.2020,01:45:00,0.291,0.018
01.01.2020,02:00:00,0.315,0.048
01.01.2020,02:15:00,0.31,0.047
01.01.2020,02:30:00,0.324,0.049
01.01.2020,02:45:00,0.343,0.057
01.01.2020,03:00:00,0.365,0.069
01.01.2020,03:15:00,0.385,0.078
01.01.2020,03:30:00,0.399,0.068
01.01.2020,03:45:00,0.44,0.064
01.01.2020,04:00:00,0.478,0.075
01.01.2020,04:15:00,0.457,0.07
01.01.2020,04:30:00,0.477,0.076
01.01.2020,04:45:00,0.469,0.076
01.01.2020,05:00:00,0.487,0.077
01.01.2020,05:15:00,0.492,0.075
01.01.2020,05:30:00,0.46,0.071
01.01.2020,05:45:00,0.404,0.058
01.01.2020,06:00:00,0.347,0.04
01.01.2020,06:15:00,0.325,0.039
01.01.2020,06:30:00,0.337,0.054
01.01.2020,06:45:00,0.328,0.056
01.01.2020,07:00:00,0.343,0.06
01.01.2020,07:15:00,0.361,0.066
01.01.2020,07:30:00,0.396,0.077
01.01.2020,07:45:00,0.42,0.087
01.01.2020,08:00:00,0.413,0.065
01.01.2020,08:15:00,0.428,0.057
01.01.2020,08:30:00,0.506,0.038
01.01.2020,08:45:00,0.534,0.038
01.01.2020,09:00:00,0.508,0.031
01.01.2020,09:15:00,0.426,0.014
01.01.2020,09:30:00,0.369,0.001
01.01.2020,09:45:00,0.345,0
01.01.2020,10:00:00,0.326,0.003
01.01.2020,10:15:00,0.294,0.017
01.01.2020,10:30:00,0.322,0.031
01.01.2020,10:45:00,0.357,0.057
01.01.2020,11:00:00,0.369,0.061
01.01.2020,11:15:00,0.38,0.067
01.01.2020,11:30:00,0.387,0.072
01.01.2020,11:45:00,0.407,0.079
01.01.2020,12:00:00,0.434,0.086
01.01.2020,12:15:00,0.431,0.065
01.01.2020,12:30:00,0.428,0.06
01.01.2020,12:45:00,0.452,0.066
01.01.2020,13:00:00,0.464,0.07
01.01.2020,13:15:00,0.465,0.07
01.01.2020,13:30:00,0.451,0.066
01.01.2020,13:45:00,0.382,0.045
01.01.2020,14:00:00,0.344,0.031
01.01.2020,14:15:00,0.328,0.025
01.01.2020,14:30:00,0.305,0.02
01.01.2020,14:45:00,0.297,0.016
01.01.2020,15:00:00,0.311,0.044
01.01.2020,15:15:00,0.336,0.061
01.01.2020,15:30:00,0.385,0.054
01.01.2020,15:45:00,0.336,0.051
01.01.2020,16:00:00,0.34,0.046
01.01.2020,16:15:00,0.391,0.022
01.01.2020,16:30:00,0.457,0.013
01.01.2020,16:45:00,0.48,0.002
01.01.2020,17:00:00,0.548,0.03
01.01.2020,17:15:00,0.904,0.039
01.01.2020,17:30:00,0.599,0.048
01.01.2020,17:45:00,0.599,0.036
01.01.2020,18:00:00,0.742,0.041
01.01.2020,18:15:00,0.593,0.039
01.01.2020,18:30:00,0.56,0.044
01.01.2020,18:45:00,0.588,0.036
01.01.2020,19:00:00,0.517,0.031
01.01.2020,19:15:00,0.841,0.032
01.01.2020,19:30:00,0.888,0.011
01.01.2020,19:45:00,0.438,0.015
01.01.2020,20:00:00,0.459,0.014
01.01.2020,20:15:00,0.455,0.016
01.01.2020,20:30:00,0.449,0.017
01.01.2020,20:45:00,0.423,0
01.01.2020,21:00:00,0.451,0.007
01.01.2020,21:15:00,0.552,0.09
01.01.2020,21:30:00,0.697,0.208
01.01.2020,21:45:00,0.795,0.182
01.01.2020,22:00:00,0.763,0.152
01.01.2020,22:15:00,0.599,0.063
01.01.2020,22:30:00,0.567,0.032
01.01.2020,22:45:00,0.511,0.017
01.01.2020,23:00:00,0.602,0.046
01.01.2020,23:15:00,0.671,0.081
01.01.2020,23:30:00,0.641,0.071
01.01.2020,23:45:00,0.578,0.063
02.01.2020,00:00:00,0.47,0.095
02.01.2020,00:15:00,0.457,0.093
02.01.2020,00:30:00,0.493,0.103
02.01.2020,00:45:00,0.551,0.1
02.01.2020,01:00:00,0.513,0.081
02.01.2020,01:15:00,0.47,0.069
02.01.2020,01:30:00,0.399,0.054
02.01.2020,01:45:00,0.246,0.021
02.01.2020,02:00:00,0.058,0
02.01.2020,02:15:00,0.06,0
02.01.2020,02:30:00,0.056,0
02.01.2020,02:45:00,0.22,0.006
02.01.2020,03:00:00,0.282,0.016
02.01.2020,03:15:00,0.353,0.042
02.01.2020,03:30:00,0.444,0.088
02.01.2020,03:45:00,0.528,0.109
02.01.2020,04:00:00,0.561,0.118
02.01.2020,04:15:00,0.522,0.109
02.01.2020,04:30:00,0.476,0.1
02.01.2020,04:45:00,0.403,0.079
02.01.2020,05:00:00,0.337,0.043
02.01.2020,05:15:00,0.298,0.015
02.01.2020,05:30:00,0.299,0.018
02.01.2020,05:45:00,0.295,0.02
02.01.2020,06:00:00,0.313,0.027
02.01.2020,06:15:00,0.344,0.036
02.01.2020,06:30:00,0.379,0.047
02.01.2020,06:45:00,0.403,0.055
02.01.2020,07:00:00,0.424,0.054
02.01.2020,07:15:00,0.614,0.058
02.01.2020,07:30:00,0.779,0.056
02.01.2020,07:45:00,0.685,0.104
02.01.2020,08:00:00,0.622,0.095
02.01.2020,08:15:00,0.551,0.054
02.01.2020,08:30:00,0.339,0.049
02.01.2020,08:45:00,0.321,0.046
02.01.2020,09:00:00,0.332,0.071
02.01.2020,09:15:00,0.312,0.062
02.01.2020,09:30:00,0.352,0.072
02.01.2020,09:45:00,0.34,0.049
02.01.2020,10:00:00,0.363,0.052
02.01.2020,10:15:00,0.763,0.046
02.01.2020,10:30:00,0.429,0.052
02.01.2020,10:45:00,0.408,0.059
02.01.2020,11:00:00,0.465,0.074
02.01.2020,11:15:00,0.504,0.096
02.01.2020,11:30:00,0.481,0.081
02.01.2020,11:45:00,0.419,0.076
02.01.2020,12:00:00,0.495,0.066
02.01.2020,12:15:00,0.219,0.03
02.01.2020,12:30:00,0.072,0.001
02.01.2020,12:45:00,0.138,0.002
02.01.2020,13:00:00,0.08,0
02.01.2020,13:15:00,0.151,0.011
02.01.2020,13:30:00,0.243,0.002
02.01.2020,13:45:00,0.302,0.01
02.01.2020,14:00:00,0.345,0.026
02.01.2020,14:15:00,0.397,0.061
02.01.2020,14:30:00,0.407,0.047
02.01.2020,14:45:00,0.458,0.07
02.01.2020,15:00:00,0.493,0.079
02.01.2020,15:15:00,0.469,0.072
02.01.2020,15:30:00,0.393,0.052
02.01.2020,15:45:00,0.324,0.038
02.01.2020,16:00:00,0.304,0.047
02.01.2020,16:15:00,0.301,0.047
02.01.2020,16:30:00,0.322,0.051
02.01.2020,16:45:00,0.341,0.052
02.01.2020,17:00:00,0.429,0.047
02.01.2020,17:15:00,0.519,0.047
02.01.2020,17:30:00,0.484,0.045
02.01.2020,17:45:00,0.615,0.029
02.01.2020,18:00:00,0.709,0.026
02.01.2020,18:15:00,0.572,0.032
02.01.2020,18:30:00,0.637,0.044
02.01.2020,18:45:00,0.925,0.047
02.01.2020,19:00:00,1.051,0.032
02.01.2020,19:15:00,0.518,0.008
02.01.2020,19:30:00,0.527,0.002
02.01.2020,19:45:00,1.072,0.007
02.01.2020,20:00:00,0.436,0.012
02.01.2020,20:15:00,0.432,0.024
02.01.2020,20:30:00,0.442,0.025
02.01.2020,20:45:00,0.481,0.042
02.01.2020,21:00:00,0.484,0.031
02.01.2020,21:15:00,0.52,0.032
02.01.2020,21:30:00,0.464,0.01
02.01.2020,21:45:00,0.463,0.011
02.01.2020,22:00:00,0.491,0.009
02.01.2020,22:15:00,0.522,0.017
02.01.2020,22:30:00,0.529,0.017
02.01.2020,22:45:00,0.525,0.019
02.01.2020,23:00:00,0.508,0.019
02.01.2020,23:15:00,0.516,0.014
02.01.2020,23:30:00,0.525,0.014
02.01.2020,23:45:00,0.567,0.03
03.01.2020,00:00:00,0.684,0.089
03.01.2020,00:15:00,0.611,0.103
