Ab-Datum,Ab-Zeit,Wirk-Profilwert,Blind-Profilwert
21.08.2020,00:00:00,0.053,0
21.08.2020,00:15:00,0.046,0
21.08.2020,00:30:00,0.044,0
21.08.2020,00:45:00,0.043,0
21.08.2020,01:00:00,0.058,0
21.08.2020,01:15:00,0.076,0
21.08.2020,01:30:00,0.06,0
21.08.2020,01:45:00,0.06,0
21.08.2020,02:00:00,0.069,0
21.08.2020,02:15:00,0.065,0
21.08.2020,02:30:00,0.061,0
21.08.2020,02:45:00,0.074,0
21.08.2020,03:00:00,0.051,0
21.08.2020,03:15:00,0.044,0
21.08.2020,03:30:00,0.053,0
21.08.2020,03:45:00,0.061,0
21.08.2020,04:00:00,0.051,0
21.08.2020,04:15:00,0.06,0
21.08.2020,04:30:00,0.06,0
21.08.2020,04:45:00,0.061,0
21.08.2020,05:00:00,0.052,0
21.08.2020,05:15:00,0.042,0
21.08.2020,05:30:00,0.042,0
21.08.2020,05:45:00,0.052,0
21.08.2020,06:00:00,0.057,0
21.08.2020,06:15:00,0.048,0
21.08.2020,06:30:00,0.065,0
21.08.2020,06:45:00,0.058,0
21.08.2020,07:00:00,0.054,0
21.08.2020,07:15:00,0.193,0
21.08.2020,07:30:00,0.066,0
21.08.2020,07:45:00,0.054,0
21.08.2020,08:00:00,0.058,0
21.08.2020,08:15:00,0.062,0
21.08.2020,08:30:00,0.046,0
21.08.2020,08:45:00,0.05,0
21.08.2020,09:00:00,0.072,0
21.08.2020,09:15:00,0.072,0
21.08.2020,09:30:00,0.122,0
21.08.2020,09:45:00,0.04,0
21.08.2020,10:00:00,0.054,0
21.08.2020,10:15:00,0.068,0
21.08.2020,10:30:00,0.055,0
21.08.2020,10:45:00,0.049,0
21.08.2020,11:00:00,0.044,0
21.08.2020,11:15:00,0.05,0
21.08.2020,11:30:00,0.088,0
21.08.2020,11:45:00,0.085,0
21.08.2020,12:00:00,0.065,0
21.08.2020,12:15:00,0.063,0
21.08.2020,12:30:00,0.049,0
21.08.2020,12:45:00,0.043,0
21.08.2020,13:00:00,0.07,0
21.08.2020,13:15:00,0.074,0
21.08.2020,13:30:00,0.057,0
21.08.2020,13:45:00,0.038,0
21.08.2020,14:00:00,0.044,0
21.08.2020,14:15:00,0.055,0
21.08.2020,14:30:00,0.073,0
21.08.2020,14:45:00,0.057,0
21.08.2020,15:00:00,0.051,0
21.08.2020,15:15:00,0.059,0
21.08.2020,15:30:00,0.051,0
