Ab-Datum,Ab-Zeit,Wirk-Profilwert,Blind-Profilwert
01.01.2020,00:00:00,1.353,0.61
01.01.2020,00:15:00,0.951,0.636
01.01.2020,00:30:00,0.95,0.611
01.01.2020,00:45:00,0.93,0.617
01.01.2020,01:00:00,0.824,0.593
01.01.2020,01:15:00,0.938,0.618
01.01.2020,01:30:00,0.937,0.622
01.01.2020,01:45:00,1.018,0.62
01.01.2020,02:00:00,2.187,0.604
01.01.2020,02:15:00,2.048,0.592
01.01.2020,02:30:00,2.15,0.614
01.01.2020,02:45:00,2.168,0.62
01.01.2020,03:00:00,2.167,0.619
01.01.2020,03:15:00,2.214,0.619
01.01.2020,03:30:00,2.117,0.605
01.01.2020,03:45:00,2.257,0.631
01.01.2020,04:00:00,2.046,0.477
01.01.2020,04:15:00,1.359,0
01.01.2020,04:30:00,2.092,0.529
01.01.2020,04:45:00,1.877,0.379
01.01.2020,05:00:00,1.335,0
01.01.2020,05:15:00,1.571,0.18
01.01.2020,05:30:00,2.05,0.598
01.01.2020,05:45:00,2.159,0.616
01.01.2020,06:00:00,2.152,0.612
01.01.2020,06:15:00,2.195,0.616
01.01.2020,06:30:00,1.539,0.614
01.01.2020,06:45:00,0.352,0.203
01.01.2020,07:00:00,0.713,0.452
01.01.2020,07:15:00,0.943,0.601
01.01.2020,07:30:00,0.391,0.234
01.01.2020,07:45:00,0.032,0
01.01.2020,08:00:00,0.372,0.233
01.01.2020,08:15:00,0.868,0.591
01.01.2020,08:30:00,0.8,0.518
01.01.2020,08:45:00,0.061,0
01.01.2020,09:00:00,0.096,0
01.01.2020,09:15:00,0.393,0.062
01.01.2020,09:30:00,0.683,0
01.01.2020,09:45:00,0.686,0
01.01.2020,10:00:00,0.726,0
01.01.2020,10:15:00,0.683,0
01.01.2020,10:30:00,0.705,0.001
01.01.2020,10:45:00,0.732,0.002
01.01.2020,11:00:00,0.699,0
01.01.2020,11:15:00,0.691,0
01.01.2020,11:30:00,0.663,0
