Ab-Datum,Ab-Zeit,Wirk-Profilwert,Blind-Profilwert
01.01.2020,00:00:00,0.187,0.01
01.01.2020,00:15:00,0.212,0.006
01.01.2020,00:30:00,0.177,0
01.01.2020,00:45:00,0.182,0
01.01.2020,01:00:00,0.206,0
01.01.2020,01:15:00,0.212,0.001
01.01.2020,01:30:00,0.212,0
01.01.2020,01:45:00,0.218,0.003
01.01.2020,02:00:00,0.192,0.012
01.01.2020,02:15:00,0.179,0.014
01.01.2020,02:30:00,0.18,0.011
01.01.2020,02:45:00,0.168,0.004
01.01.2020,03:00:00,0.152,0.001
01.01.2020,03:15:00,0.152,0
01.01.2020,03:30:00,0.157,0
01.01.2020,03:45:00,0.161,0.001
01.01.2020,04:00:00,0.16,0
01.01.2020,04:15:00,0.166,0.008
01.01.2020,04:30:00,0.178,0.012
01.01.2020,04:45:00,0.184,0.01
01.01.2020,05:00:00,0.18,0.01
01.01.2020,05:15:00,0.155,0
01.01.2020,05:30:00,0.15,0.001
01.01.2020,05:45:00,0.156,0
01.01.2020,06:00:00,0.16,0.001
01.01.2020,06:15:00,0.158,0
01.01.2020,06:30:00,0.152,0.001
01.01.2020,06:45:00,0.176,0.013
01.01.2020,07:00:00,0.177,0.011
01.01.2020,07:15:00,0.181,0.011
01.01.2020,07:30:00,0.172,0.009
01.01.2020,07:45:00,0.152,0.001
01.01.2020,08:00:00,0.153,0.001
01.01.2020,08:15:00,0.157,0
01.01.2020,08:30:00,0.16,0
01.01.2020,08:45:00,0.153,0.001
01.01.2020,09:00:00,0.158,0.004
01.01.2020,09:15:00,0.191,0.014
01.01.2020,09:30:00,0.191,0.013
01.01.2020,09:45:00,0.181,0.013
01.01.2020,10:00:00,0.173,0.015
01.01.2020,10:15:00,0.214,0.019
01.01.2020,10:30:00,0.376,0.156
01.01.2020,10:45:00,0.374,0.16
01.01.2020,11:00:00,0.369,0.163
01.01.2020,11:15:00,0.371,0.163
01.01.2020,11:30:00,0.384,0.168
01.01.2020,11:45:00,0.412,0.174
01.01.2020,12:00:00,0.419,0.174
01.01.2020,12:15:00,0.621,0.167
01.01.2020,12:30:00,0.393,0.171
01.01.2020,12:45:00,0.535,0.16
01.01.2020,13:00:00,0.55,0.161
01.01.2020,13:15:00,0.428,0.166
01.01.2020,13:30:00,0.426,0.171
01.01.2020,13:45:00,0.456,0.175
01.01.2020,14:00:00,0.446,0.169
01.01.2020,14:15:00,0.452,0.174
01.01.2020,14:30:00,0.494,0.177
01.01.2020,14:45:00,0.568,0.18
01.01.2020,15:00:00,0.662,0.171
01.01.2020,15:15:00,0.473,0.164
01.01.2020,15:30:00,0.471,0.16
01.01.2020,15:45:00,0.466,0.158
01.01.2020,16:00:00,0.458,0.155
01.01.2020,16:15:00,0.436,0.156
01.01.2020,16:30:00,0.447,0.171
01.01.2020,16:45:00,0.468,0.172
01.01.2020,17:00:00,0.976,0.165
01.01.2020,17:15:00,0.649,0.163
01.01.2020,17:30:00,0.48,0.147
01.01.2020,17:45:00,0.482,0.145
01.01.2020,18:00:00,0.499,0.152
01.01.2020,18:15:00,0.484,0.154
01.01.2020,18:30:00,0.447,0.14
01.01.2020,18:45:00,0.302,0.001
01.01.2020,19:00:00,0.283,0.006
01.01.2020,19:15:00,0.273,0.006
01.01.2020,19:30:00,0.274,0.007
01.01.2020,19:45:00,0.301,0.006
01.01.2020,20:00:00,0.3,0.002
01.01.2020,20:15:00,0.222,0.003
01.01.2020,20:30:00,0.319,0.103
01.01.2020,20:45:00,0.387,0.171
01.01.2020,21:00:00,0.395,0.175
01.01.2020,21:15:00,0.359,0.15
01.01.2020,21:30:00,0.197,0.016
01.01.2020,21:45:00,0.195,0.015
01.01.2020,22:00:00,0.221,0.005
01.01.2020,22:15:00,0.222,0.002
01.01.2020,22:30:00,0.2,0
01.01.2020,22:45:00,0.205,0
01.01.2020,23:00:00,0.208,0
01.01.2020,23:15:00,0.212,0.001
01.01.2020,23:30:00,0.207,0
01.01.2020,23:45:00,0.216,0.003
02.01.2020,00:00:00,0.229,0.005
02.01.2020,00:15:00,0.231,0.004
02.01.2020,00:30:00,0.21,0.005
02.01.2020,00:45:00,0.165,0.001
02.01.2020,01:00:00,0.157,0.004
02.01.2020,01:15:00,0.161,0
02.01.2020,01:30:00,0.156,0
02.01.2020,01:45:00,0.152,0
02.01.2020,02:00:00,0.156,0.004
02.01.2020,02:15:00,0.179,0.01
02.01.2020,02:30:00,0.18,0.011
02.01.2020,02:45:00,0.173,0.012
02.01.2020,03:00:00,0.159,0.003
02.01.2020,03:15:00,0.153,0.001
02.01.2020,03:30:00,0.16,0
02.01.2020,03:45:00,0.159,0
02.01.2020,04:00:00,0.153,0
02.01.2020,04:15:00,0.153,0.001
02.01.2020,04:30:00,0.176,0.009
02.01.2020,04:45:00,0.184,0.011
02.01.2020,05:00:00,0.173,0.011
02.01.2020,05:15:00,0.166,0.008
02.01.2020,05:30:00,0.154,0.001
02.01.2020,05:45:00,0.156,0
02.01.2020,06:00:00,0.154,0
02.01.2020,06:15:00,0.155,0.001
02.01.2020,06:30:00,0.153,0.001
02.01.2020,06:45:00,0.169,0.004
02.01.2020,07:00:00,0.182,0.011
02.01.2020,07:15:00,0.207,0.013
02.01.2020,07:30:00,0.192,0.011
02.01.2020,07:45:00,0.166,0.006
02.01.2020,08:00:00,0.162,0
02.01.2020,08:15:00,0.162,0
02.01.2020,08:30:00,0.157,0.001
02.01.2020,08:45:00,0.15,0
02.01.2020,09:00:00,0.152,0.001
02.01.2020,09:15:00,0.173,0.008
02.01.2020,09:30:00,0.178,0.011
02.01.2020,09:45:00,0.173,0.011
02.01.2020,10:00:00,0.182,0.016
02.01.2020,10:15:00,0.285,0.022
02.01.2020,10:30:00,0.494,0.16
02.01.2020,10:45:00,0.443,0.16
02.01.2020,11:00:00,0.395,0.163
02.01.2020,11:15:00,0.496,0.162
02.01.2020,11:30:00,0.898,0.164
02.01.2020,11:45:00,0.494,0.172
02.01.2020,12:00:00,0.736,0.173
02.01.2020,12:15:00,0.805,0.167
02.01.2020,12:30:00,0.424,0.165
02.01.2020,12:45:00,0.425,0.157
02.01.2020,13:00:00,0.422,0.161
02.01.2020,13:15:00,0.42,0.164
02.01.2020,13:30:00,0.46,0.157
02.01.2020,13:45:00,0.471,0.156
02.01.2020,14:00:00,0.484,0.163
02.01.2020,14:15:00,0.486,0.169
02.01.2020,14:30:00,0.48,0.168
02.01.2020,14:45:00,0.47,0.173
02.01.2020,15:00:00,0.429,0.168
02.01.2020,15:15:00,0.405,0.162
02.01.2020,15:30:00,0.399,0.16
02.01.2020,15:45:00,0.397,0.158
02.01.2020,16:00:00,0.411,0.163
02.01.2020,16:15:00,0.409,0.161
02.01.2020,16:30:00,0.417,0.168
02.01.2020,16:45:00,0.548,0.174
02.01.2020,17:00:00,0.484,0.172
02.01.2020,17:15:00,0.485,0.172
02.01.2020,17:30:00,0.985,0.164
02.01.2020,17:45:00,0.649,0.152
02.01.2020,18:00:00,0.59,0.161
02.01.2020,18:15:00,0.862,0.159
02.01.2020,18:30:00,0.442,0.144
02.01.2020,18:45:00,0.261,0.001
02.01.2020,19:00:00,0.18,0.01
02.01.2020,19:15:00,0.192,0.01
02.01.2020,19:30:00,0.229,0.011
