Ab-Datum,Ab-Zeit,Wirk-Profilwert,Blind-Profilwert
01.01.2020,00:00:00,0.634,0
01.01.2020,00:15:00,0.579,0
01.01.2020,00:30:00,0.579,0
01.01.2020,00:45:00,0.435,0
01.01.2020,01:00:00,0.806,0
01.01.2020,01:15:00,0.506,0
01.01.2020,01:30:00,0.528,0
01.01.2020,01:45:00,0.527,0
01.01.2020,02:00:00,0.523,0
01.01.2020,02:15:00,0.515,0
01.01.2020,02:30:00,0.579,0
01.01.2020,02:45:00,0.592,0
01.01.2020,03:00:00,0.506,0
01.01.2020,03:15:00,0.507,0
01.01.2020,03:30:00,0.53,0
01.01.2020,03:45:00,0.374,0.001
01.01.2020,04:00:00,0.802,0
01.01.2020,04:15:00,0.533,0
01.01.2020,04:30:00,0.538,0
01.01.2020,04:45:00,0.636,0
01.01.2020,05:00:00,0.456,0
01.01.2020,05:15:00,0.9,0
01.01.2020,05:30:00,0.587,0
01.01.2020,05:45:00,0.616,0
01.01.2020,06:00:00,0.594,0
01.01.2020,06:15:00,0.648,0
01.01.2020,06:30:00,0.597,0
01.01.2020,06:45:00,0.716,0
01.01.2020,07:00:00,0.577,0
01.01.2020,07:15:00,0.586,0
01.01.2020,07:30:00,0.619,0
01.01.2020,07:45:00,0.558,0
01.01.2020,08:00:00,0.671,0
01.01.2020,08:15:00,0.552,0
01.01.2020,08:30:00,0.568,0
01.01.2020,08:45:00,0.715,0
01.01.2020,09:00:00,0.788,0
01.01.2020,09:15:00,0.865,0.001
01.01.2020,09:30:00,0.536,0
01.01.2020,09:45:00,0.51,0
01.01.2020,10:00:00,0.649,0
01.01.2020,10:15:00,0.688,0
01.01.2020,10:30:00,0.624,0
01.01.2020,10:45:00,0.459,0
01.01.2020,11:00:00,0.903,0
01.01.2020,11:15:00,0.56,0
01.01.2020,11:30:00,0.592,0
01.01.2020,11:45:00,0.594,0
01.01.2020,12:00:00,0.595,0
01.01.2020,12:15:00,0.593,0
01.01.2020,12:30:00,0.611,0
01.01.2020,12:45:00,1.206,0.001
01.01.2020,13:00:00,0.768,0
01.01.2020,13:15:00,0.82,0
01.01.2020,13:30:00,0.898,0
01.01.2020,13:45:00,0.835,0
01.01.2020,14:00:00,0.631,0
01.01.2020,14:15:00,0.382,0
01.01.2020,14:30:00,0.868,0.001
01.01.2020,14:45:00,0.666,0
01.01.2020,15:00:00,0.809,0
01.01.2020,15:15:00,0.558,0
01.01.2020,15:30:00,0.389,0
01.01.2020,15:45:00,0.655,0
01.01.2020,16:00:00,1.175,0
01.01.2020,16:15:00,0.741,0.001
01.01.2020,16:30:00,1.214,0
01.01.2020,16:45:00,0.936,0
01.01.2020,17:00:00,0.675,0
01.01.2020,17:15:00,1.101,0
01.01.2020,17:30:00,0.916,0
01.01.2020,17:45:00,0.661,0
01.01.2020,18:00:00,1.088,0
01.01.2020,18:15:00,0.943,0
01.01.2020,18:30:00,0.613,0
01.01.2020,18:45:00,1.13,0
01.01.2020,19:00:00,0.906,0
01.01.2020,19:15:00,0.56,0
01.01.2020,19:30:00,1.101,0
01.01.2020,19:45:00,0.844,0
01.01.2020,20:00:00,0.555,0
01.01.2020,20:15:00,1.125,0
01.01.2020,20:30:00,1.333,0
01.01.2020,20:45:00,0.82,0.001
01.01.2020,21:00:00,1.339,0
01.01.2020,21:15:00,1.104,0
01.01.2020,21:30:00,0.628,0
01.01.2020,21:45:00,1.006,0
01.01.2020,22:00:00,0.779,0
01.01.2020,22:15:00,0.599,0
01.01.2020,22:30:00,0.985,0
01.01.2020,22:45:00,0.62,0
01.01.2020,23:00:00,0.746,0
