Ab-Datum,Ab-Zeit,Wirk-Profilwert,Blind-Profilwert
01.01.2020,00:00:00,0.505,0
01.01.2020,00:15:00,1.055,0
01.01.2020,00:30:00,0.991,0
01.01.2020,00:45:00,0.694,0
01.01.2020,01:00:00,0.742,0
01.01.2020,01:15:00,0.685,0
01.01.2020,01:30:00,0.554,0
01.01.2020,01:45:00,0.548,0
01.01.2020,02:00:00,1.544,0
01.01.2020,02:15:00,0.799,0
01.01.2020,02:30:00,1.137,0
01.01.2020,02:45:00,0.769,0
01.01.2020,03:00:00,0.699,0
01.01.2020,03:15:00,0.801,0
01.01.2020,03:30:00,1.046,0
01.01.2020,03:45:00,0.609,0
01.01.2020,04:00:00,1.02,0.001
01.01.2020,04:15:00,0.886,0
01.01.2020,04:30:00,0.651,0
01.01.2020,04:45:00,0.696,0
01.01.2020,05:00:00,0.804,0
01.01.2020,05:15:00,0.82,0
01.01.2020,05:30:00,0.845,0
01.01.2020,05:45:00,1.054,0
01.01.2020,06:00:00,0.807,0
01.01.2020,06:15:00,1.146,0
01.01.2020,06:30:00,0.75,0
01.01.2020,06:45:00,0.628,0
01.01.2020,07:00:00,0.719,0
01.01.2020,07:15:00,0.717,0
01.01.2020,07:30:00,0.722,0
01.01.2020,07:45:00,0.835,0
01.01.2020,08:00:00,0.96,0
01.01.2020,08:15:00,1.132,0
01.01.2020,08:30:00,0.82,0
01.01.2020,08:45:00,0.639,0
01.01.2020,09:00:00,0.63,0
01.01.2020,09:15:00,0.749,0
01.01.2020,09:30:00,0.731,0
01.01.2020,09:45:00,0.717,0
01.01.2020,10:00:00,0.718,0
01.01.2020,10:15:00,0.944,0
01.01.2020,10:30:00,1.064,0
01.01.2020,10:45:00,0.682,0
01.01.2020,11:00:00,0.639,0
01.01.2020,11:15:00,0.733,0
01.01.2020,11:30:00,0.64,0
01.01.2020,11:45:00,0.701,0
01.01.2020,12:00:00,0.724,0
01.01.2020,12:15:00,0.644,0
01.01.2020,12:30:00,0.636,0
01.01.2020,12:45:00,0.963,0
01.01.2020,13:00:00,0.645,0
01.01.2020,13:15:00,0.627,0
01.01.2020,13:30:00,0.749,0
01.01.2020,13:45:00,0.672,0
01.01.2020,14:00:00,0.633,0
01.01.2020,14:15:00,0.681,0
01.01.2020,14:30:00,0.43,0
01.01.2020,14:45:00,1.089,0
01.01.2020,15:00:00,0.728,0
01.01.2020,15:15:00,0.631,0
01.01.2020,15:30:00,0.629,0
01.01.2020,15:45:00,0.718,0
01.01.2020,16:00:00,0.726,0
01.01.2020,16:15:00,0.635,0
01.01.2020,16:30:00,0.679,0
01.01.2020,16:45:00,0.585,0
01.01.2020,17:00:00,1.003,0
01.01.2020,17:15:00,0.717,0
01.01.2020,17:30:00,0.672,0
01.01.2020,17:45:00,0.698,0
01.01.2020,18:00:00,0.632,0
01.01.2020,18:15:00,0.77,0
01.01.2020,18:30:00,0.75,0
01.01.2020,18:45:00,0.471,0
01.01.2020,19:00:00,0.998,0
01.01.2020,19:15:00,0.859,0
01.01.2020,19:30:00,0.646,0
01.01.2020,19:45:00,0.64,0
01.01.2020,20:00:00,0.671,0
01.01.2020,20:15:00,0.751,0
01.01.2020,20:30:00,0.759,0
01.01.2020,20:45:00,0.699,0
01.01.2020,21:00:00,0.508,0.001
01.01.2020,21:15:00,1.095,0
01.01.2020,21:30:00,0.679,0
01.01.2020,21:45:00,0.641,0
01.01.2020,22:00:00,0.707,0
01.01.2020,22:15:00,0.715,0
01.01.2020,22:30:00,0.714,0
01.01.2020,22:45:00,0.723,0
01.01.2020,23:00:00,0.546,0
01.01.2020,23:15:00,0.888,0
01.01.2020,23:30:00,0.926,0
01.01.2020,23:45:00,0.659,0
02.01.2020,00:00:00,0.677,0
02.01.2020,00:15:00,0.669,0
02.01.2020,00:30:00,0.666,0
02.01.2020,00:45:00,0.678,0
02.01.2020,01:00:00,0.706,0
02.01.2020,01:15:00,0.467,0
02.01.2020,01:30:00,1.148,0
02.01.2020,01:45:00,0.786,0
02.01.2020,02:00:00,1.416,0
02.01.2020,02:15:00,1.111,0
02.01.2020,02:30:00,0.781,0
02.01.2020,02:45:00,0.736,0
02.01.2020,03:00:00,0.743,0
02.01.2020,03:15:00,0.893,0
02.01.2020,03:30:00,0.927,0
02.01.2020,03:45:00,0.853,0
02.01.2020,04:00:00,0.596,0
02.01.2020,04:15:00,0.609,0
02.01.2020,04:30:00,0.743,0
02.01.2020,04:45:00,0.729,0
02.01.2020,05:00:00,0.643,0
02.01.2020,05:15:00,0.644,0
02.01.2020,05:30:00,0.416,0
02.01.2020,05:45:00,1.397,0
02.01.2020,06:00:00,0.729,0
02.01.2020,06:15:00,0.612,0
02.01.2020,06:30:00,0.609,0
02.01.2020,06:45:00,0.656,0
02.01.2020,07:00:00,0.706,0
02.01.2020,07:15:00,0.722,0
02.01.2020,07:30:00,0.643,0
02.01.2020,07:45:00,1.154,0
02.01.2020,08:00:00,0.777,0
02.01.2020,08:15:00,0.611,0
02.01.2020,08:30:00,0.607,0
02.01.2020,08:45:00,0.66,0
02.01.2020,09:00:00,0.667,0
02.01.2020,09:15:00,0.669,0
02.01.2020,09:30:00,0.671,0
02.01.2020,09:45:00,0.896,0
02.01.2020,10:00:00,1.037,0
02.01.2020,10:15:00,0.681,0
02.01.2020,10:30:00,0.607,0
02.01.2020,10:45:00,0.706,0
02.01.2020,11:00:00,0.665,0
02.01.2020,11:15:00,0.637,0
02.01.2020,11:30:00,0.638,0
02.01.2020,11:45:00,0.66,0
02.01.2020,12:00:00,1.065,0.001
02.01.2020,12:15:00,0.802,0
02.01.2020,12:30:00,0.551,0
02.01.2020,12:45:00,0.463,0
02.01.2020,13:00:00,0.706,0
02.01.2020,13:15:00,1.072,0
02.01.2020,13:30:00,0.612,0
02.01.2020,13:45:00,0.556,0
02.01.2020,14:00:00,0.603,0
02.01.2020,14:15:00,0.784,0
02.01.2020,14:30:00,0.682,0
02.01.2020,14:45:00,0.623,0
02.01.2020,15:00:00,0.652,0
02.01.2020,15:15:00,0.64,0
02.01.2020,15:30:00,0.628,0
02.01.2020,15:45:00,0.624,0
02.01.2020,16:00:00,0.437,0
02.01.2020,16:15:00,1.019,0
02.01.2020,16:30:00,0.573,0
02.01.2020,16:45:00,0.374,0
02.01.2020,17:00:00,0.917,0
02.01.2020,17:15:00,1.031,0
02.01.2020,17:30:00,0.65,0
02.01.2020,17:45:00,0.624,0
02.01.2020,18:00:00,0.476,0
02.01.2020,18:15:00,0.954,0
02.01.2020,18:30:00,0.765,0
02.01.2020,18:45:00,0.637,0
02.01.2020,19:00:00,0.627,0
02.01.2020,19:15:00,0.622,0
02.01.2020,19:30:00,0.743,0
02.01.2020,19:45:00,0.699,0
02.01.2020,20:00:00,0.631,0
02.01.2020,20:15:00,0.496,0.001
02.01.2020,20:30:00,1.074,0
02.01.2020,20:45:00,0.656,0
02.01.2020,21:00:00,0.643,0
02.01.2020,21:15:00,0.631,0
02.01.2020,21:30:00,0.515,0
02.01.2020,21:45:00,0.462,0
